codigo,nombre
08,Beni
01,Chuquisaca
03,Cochabamba
09,Pando
07,Santa Cruz
06,Tarija
04,Oruro
05,Potosi
02,La Paz
090501,Nuevo Manoa (Nueva Esperanza)
090503,Santos Mercado
090402,Ingavi
090401,Santa Rosa del Abuná
090104,Bella Flor
080202,Guayaramerín
090502,Villa Nueva (Loma Alta)
080201,Riberalta
090202,San Pedro (Conquista)
090102,Porvenir
090302,San Lorenzo
090203,Filadelfia
090303,El Sena
080303,Santa Rosa
080301,Reyes
021501,Ixiamas
080701,San Joaquín
090301,Puerto Gonzales Moreno
090103,Bolpebra
090201,Puerto Rico
090101,Cobija
080703,Puerto Siles
080402,Exaltacion
080801,Magdalena
080702,San Ramón
080802,Baures
080803,Huacaraje
080401,Santa Ana de Yacuma
070301,San Ignacio de Velasco
071101,Concepción
021502,San Buenaventura
080102,San Javier
080501,San Ignacio
071502,Urubicha
080302,San Borja
080304,Rurrenabaque
071501,Ascención de Guarayos
020702,Pelechuco
021602,Curva
071201,San Matías
020802,Guaqui
020104,Achocalla
020801,Viacha
020103,Mecapaca
020804,Desaguadero
070303,San Rafael
080101,Trinidad
080602,San Andrés
080601,Loreto
020502,Ayata
020503,Aucapata
071105,San Ramón
020806,Jesús de Machaca
020805,San Andrés de Machaca
020905,Cairoma
071104,San Antonio de Lomerio
021002,Quime
021304,Calamarca
021006,Licoma (Villa Libertad)
071004,Fernandez Alonso
020304,Comanche
031205,Puerto Villarroel
020606,Tipuani
020302,Caquiaviri
020902,Sapahaqui
021307,Collana
020604,Quiabaya
030302,Morochata
021105,La Asunta
030301,Independencia
021306,Colquencha
020901,Luribay
020904,Malla
031601,Tiraque
050702,Caripuyo
050501,San Pedro de Buena Vista
070703,Cabezas
020605,Combaya
031003,Villa Tunari
070403,Yapacaní
071503,El Puente
071102,San Javier
031204,Chimore
070602,Santa Rosa del Sara
071005,San Pedro
020307,Nazacara de Pacajes
021303,Ayo Ayo
021901,Santiago de Machaca
020301,Coro Coro
071003,Mineros
021005,Ichoca
031206,Entre Rios (Bulo Bulo)
031002,Colomi
070402,San Carlos
020903,Yaco
021703,Tito Yupanki
021201,Pucarani
021001,Inquisivi
020105,El Alto
021101,Chulumani
021102,Irupana
070404,San Juan
070302,San Miguel de Velasco
021003,Cajuata
021202,Laja
020102,Palca
071103,San Julián
020306,Waldo Ballivian
030901,Quillacollo
071002,General Saavedra
030903,Tiquipaya
021305,Patacamaya
070501,San Jose de Chiquitos
021004,Colquiri
031202,Pojo
021302,Umala
030904,Vinto
071001,Montero
030101,Cochabamba
030902,Sipe Sipe
020305,Charaña
040102,Caracollo
070702,Charagua
030202,Pasorapa
050202,Chayanta
070803,Moro Moro
040601,Poopó
070802,Trigal
070904,Quirusillas
070801,Vallegrande
021902,Catacora
021301,Sica Sica
070201,Warnes
071106,Cuatro Canadas
070202,Okinawa Uno
020303,Calacoto
031001,Sacaba
031201,Totora
020308,Santiago de Callapa
070601,Portachuelo
030905,Colcapirhua
031101,Tapacarí
070502,Pailón
070401,Buena Vista
021803,Chacarilla
031403,San Benito
021801,San Pedro de Curahuara
071301,Comarapa
041301,San Pedro de Totora
030802,Toko
040104,Paria
070103,Porongo (Ayacucho)
071403,Carmen Rivero Torrez
050203,Llallagua
071401,Puerto Suarez
071402,Puerto Quijarro
030702,Santibañez
030403,Arbieto
031401,Punata
030803,Tolata
041101,Eucaliptus
031203,Pocona
030502,Vacas
031404,Tacachi
070603,Colpa Belgica
030501,Arani
021802,Papel Pampa
030801,Cliza
070902,Pampa Grande
040401,Curahuara de Carangas
070101,Santa Cruz de la Sierra
031402,Villa Rivero
030401,Tarata
070903,Mairana
030701,Capinota
031405,Cuchumuela (V. G.Villarroel)
030402,Anzaldo
070901,Samaipata
030601,Arque
030602,Tacopaya
031303,Alalay
030703,Sicaya
051302,Acasio
050502,Toro Toro
040302,Choquecota
030404,Sacabamba
041601,Santiago de Huayllamarca
040301,Corque
040701,Villa Huanuni
040702,Machacamarca
070102,Cotoca
031301,Mizque
041001,Toledo
051301,Arampampa
031302,Vila Vila
070503,Robore
040101,Oruro
070105,El Torno
031501,Bolivar
030203,Omereque
070104,La Guardia
071302,Saipina
040103,El Choro
030201,Aiquile
050701,Sacaca
010103,Poroma
040603,Antequera (Bolivar)
050201,Uncía
050403,Pocoata
070804,Postrer Valle
040502,Escara
040602,Pazña
050401,Colquechaca
010302,Presto
050402,Ravelo
010303,Villa Mojocoya
040503,Cruz de Machacamarca
041201,Santiago de Andamarca
040201,Challapata
010101,Sucre
041202,Belén de Andamarca
050404,Ocuri
070805,Pucara
010801,Villa Serrano
040501,Huachacalla
040505,Esmeralda
040504,Yunguyo del Litoral *
041503,Carangas
041401,Santiago de Huari
010601,Tarabuco
010402,Tomina
010501,Monteagudo
010405,El Villar
010202,Tarvita (Villa Arias)
051202,Tomave
051203,Porco
051102,"Caiza ""D"""
010201,Villa Azurduy
070706,Camiri
050602,Vitichi
050601,Cotagaita
010502,San Pablo de Huacareta
051001,San Pablo de Lipez
060302,Caraparí
060402,Yunchara
060301,Yacuiba
060401,Uriondo
051501,Villazón
041502,Todos Santos
010701,Camargo
010703,Incahuasi
011003,Machareti
011002,Huacaya
050902,San Pedro de Quemes
010902,Culpina
010901,Villa Abecia
050802,Atocha
060601,Entre Rios (La Moreta)
060501,Villa San Lorenzo
060502,Tomayapo (El Puente)
060303,Villamontes
010903,Las Carretas
050801,Tupiza
051601,San Agustín
060101,Tarija
041501,La Rivera
010301,Zudañez
070705,Gutiérrez
050303,Tacobamba
050102,Tinquipaya
040802,Pampa Aullagas
010602,Yamparáez
011001,Villa Vaca Guzmán (Muyupampa)
040202,Santuario de Quillacas
010102,Yotala
010401,Padilla
050104,Belén de Urmiri
050101,Potosí
050103,Yocalla
010304,Icla (R.Mujia)
010403,Sopachuy
010404,Villa Alcalá
051201,Uyuni (Thola Pampa)
070701,Lagunillas
050302,Chaqui
070707,Boyuibe
070704,Cuevo
051002,Mojinete
051003,San Antonio de Esmoraca
060201,Padcaya
060202,Bermejo
020608,Teoponte
021401,Coroico
021402,Coripata
020701,Apolo
021104,Palos Blancos
022001,Caranavi
020101,Nuestra Señora de La Paz
021103,Yanacachi
020402,Mocomoco
020607,Mapiri
020603,Tacacoma
020601,Sorata
020602,Guanay
020501,Chuma
021601,Charazani (Gral.Perez)
021203,Batallas
010702,San Lucas
050301,Betanzos
051101,Puna
051103,Ckochas
020201,Achacachi
020202,Ancoraimes
040902,Coipasa
050901,"Colcha""K"" (V.Martin)"
021701,Copacabana
051401,Llica
020401,Puerto Acosta
020403,Puerto Carabuco
021204,Puerto Perez
040901,Sabaya
040801,Salinas de Garci Mendoza
021702,San Pedro de Tiquina
051402,Tahua
020807,Taraco
020803,Tiahuanacu
040903,Chipaya
040402,Turco
020204,Huarina
0805,Moxos
0712,Angel Sandoval
0316,Tiraque
0301,Cercado
0311,Tapacari
0411,Tomas Barron
0413,San Pedro De Totora
0416,Nor Carangas
0410,Saucari
0315,Bolivar
0108,Belisario Boeto
0414,Sebastian Pagador
0606,Burnet O'Connor
0516,Enrique Baldivieso
0601,Cercado
0515,Modesto Omiste
0220,Caranavi
0402,Abaroa
0215,Abel Iturralde
0904,Abuná
0507,Alonso de Ibañez
0701,Andres Ibañez
0512,Antonio Quijarro
0305,Arani
0602,Arce
0213,Aroma
0306,Arque
0409,Atahuallpa
0604,Avilez
0303,Ayopaya
0102,Azurduy
0216,Bautista Saavedra
0204,Camacho
0302,Campero
0307,Capinota
0403,Carangas
0312,Carrasco
0401,Cercado
0209,Loayza
0212,Los Andes
0110,Luis Calvo
0903,Madre De Dios
0807,Mamore
0217,Manco Kapac
0713,Manuel M. Caballero
0902,Manuripi
0806,Marban
0711,Ñuflo De Chavez
0710,Obispo Santisteban
0202,Omasuyos
0101,Oropeza
0203,Pacajes
0407,Pantaleon Dalence
0406,Poopo
0314,Punata
0309,Quillacollo
0502,Rafael Bustillo
0404,Sajama
0706,Sara
0412,Sur Carangas
0508,Sur Chichas
0109,Sur Cinti
0510,Sur Lipez
0211,Sur Yungas
0501,Tomas Frias
0104,Tomina
0801,Cercado
0310,Chapare
0505,Charcas
0504,Chayanta
0705,Chiquitos
0707,Cordillera
0503,Cornelio Saavedra
0514,Daniel Campos
0304,Esteban Arce
0905,Federico Roman
0709,Florida
0207,Franz Tamayo
0513,General Bernardino B
0803,General Jose Ballivi
0219,General Jose Manuel
0714,German Busch
0308,German Jordan
0603,Gran Chaco
0218,Gualberto Villarroel
0715,Guarayos
0105,Hernando Siles
0704,Ichilo
0208,Ingavi
0210,Inquisivi
0808,Itenez
0511,Jose Maria Linares
0408,Ladislao Cabrera
0206,Larecaja
0405,Litoral
0415,Mejillones
0605,Mendez
0313,Mizque
0205,MuÏecas
0201,Murillo
0901,Nicolas Suarez
0506,Nor Chichas
0107,Nor Cinti
0509,Nor Lipez
0214,Nor Yungas
0802,Vaca Diez
0708,Valle Grande
0703,Velasco
0702,Warnes
0804,Yacuma
0106,Yamparaez
0103,Zudañez
